date,arena,age_group,home,away,parallel_slot
2026-09-26,Baerum ishall,U12,Jutul Rød,Tønsberg Grå,0
2026-09-26,Baerum ishall,U12,Jar Lilla,Frisk Asker 2,1
2026-09-26,Baerum ishall,U12,Jutul Rød,Frisk Asker 2,0
2026-09-26,Baerum ishall,U12,Jar Lilla,Tønsberg Grå,1
2026-09-26,Baerum ishall,U12,Jutul Rød,Jar Lilla,0
2026-09-26,Baerum ishall,U12,Frisk Asker 2,Tønsberg Grå,1
2026-09-26,Holmenkollen ishall,U9,Holmen Hockey Rød,Jar Hvit,0
2026-09-26,Holmenkollen ishall,U9,Holmen Hockey Sort,Sandefjord,1
2026-09-26,Holmenkollen ishall,U9,Jutul Grønn,Frisk Asker 2,2
2026-09-26,Holmenkollen ishall,U9,Jar Blå,Kongsberg,3
2026-09-26,Holmenkollen ishall,U9,Holmen Hockey Rød,Sandefjord,0
2026-09-26,Holmenkollen ishall,U9,Frisk Asker 2,Jar Hvit,1
2026-09-26,Holmenkollen ishall,U9,Kongsberg,Holmen Hockey Sort,2
2026-09-26,Holmenkollen ishall,U9,Jar Blå,Jutul Grønn,3
2026-09-26,Holmenkollen ishall,U9,Holmen Hockey Rød,Frisk Asker 2,0
2026-09-26,Holmenkollen ishall,U9,Sandefjord,Kongsberg,1
2026-09-26,Holmenkollen ishall,U9,Jar Hvit,Jar Blå,2
2026-09-26,Holmenkollen ishall,U9,Holmen Hockey Sort,Jutul Grønn,3
2026-09-26,Holmenkollen ishall,U9,Holmen Hockey Rød,Kongsberg,0
2026-09-26,Holmenkollen ishall,U9,Jar Blå,Frisk Asker 2,1
2026-09-26,Holmenkollen ishall,U9,Jutul Grønn,Sandefjord,2
2026-09-26,Holmenkollen ishall,U9,Holmen Hockey Sort,Jar Hvit,3
2026-09-26,Holmenkollen ishall,U9,Holmen Hockey Rød,Jar Blå,0
2026-09-26,Holmenkollen ishall,U9,Kongsberg,Jutul Grønn,1
2026-09-26,Holmenkollen ishall,U9,Frisk Asker 2,Holmen Hockey Sort,2
2026-09-26,Holmenkollen ishall,U9,Sandefjord,Jar Hvit,3
2026-09-26,Holmenkollen ishall,U9,Holmen Hockey Rød,Jutul Grønn,0
2026-09-26,Holmenkollen ishall,U9,Holmen Hockey Sort,Jar Blå,1
2026-09-26,Holmenkollen ishall,U9,Jar Hvit,Kongsberg,2
2026-09-26,Holmenkollen ishall,U9,Sandefjord,Frisk Asker 2,3
2026-09-26,Holmenkollen ishall,U9,Holmen Hockey Rød,Holmen Hockey Sort,0
2026-09-26,Holmenkollen ishall,U9,Jutul Grønn,Jar Hvit,1
